President,Order,Headline,Text
Bill Clinton,42,Second term (1997–2001),"In the January 1997, State of the Union address, Clinton proposed a new initiative to provide health coverage to up to five million children. Senators Ted Kennedy—a Democrat—and Orrin Hatch—a Republican—teamed up with Hillary Rodham Clinton and her staff in 1997, and succeeded in passing legislation forming the State Children's Health Insurance Program (SCHIP), the largest (successful) health care reform in the years of the Clinton Presidency. That year, Hillary Clinton shepherded through Congress the Adoption and Safe Families Act and two years later she succeeded in helping pass the Foster Care Independence Act. Bill Clinton negotiated the passage of the Balanced Budget Act of 1997 by the Republican Congress. In October 1997, he announced he was getting hearing aids, due to hearing loss attributed to his age, and his time spent as a musician in his youth. In 1999, he signed into law the Financial Services Modernization Act also known as the Gramm–Leach–Bliley Act, which repealed the part of the Glass–Steagall Act that had prohibited a bank from offering a full range of investment, commercial banking, and insurance services since its enactment in 1933."
Bill Clinton,42,Investigations,"In November 1993, David Hale—the source of criminal allegations against Bill Clinton in the Whitewater controversy—alleged that while governor of Arkansas, Clinton pressured Hale to provide an illegal $300,000 loan to Susan McDougal, the Clintons' partner in the Whitewater land deal. A U.S. Securities and Exchange Commission investigation resulted in convictions against the McDougals for their role in the Whitewater project, but the Clintons themselves were never charged, and Clinton maintains his and his wife's innocence in the affair. Investigations Robert B. Fiske and Ken Starr found insufficient to evidence to prosecute the Clintons. The White House FBI files controversy of June 1996 arose concerning improper access by the White House to FBI security-clearance documents. Craig Livingstone, head of the White House Office of Personnel Security, improperly requested, and received from the FBI, background report files without asking permission of the subject individuals; many of these were employees of former Republican administrations. In March 2000, Independent Counsel Robert Ray determined there was no credible evidence of any crime. Ray's report further stated, ""there was no substantial and credible evidence that any senior White House official was involved"" in seeking the files. On May 19, 1993, Clinton fired seven employees of the White House Travel Office. This caused the White House travel office controversy even though the travel office staff served at the pleasure of the president and could be dismissed without cause. The White House responded to the controversy by claiming that the firings were done in response to financial improprieties that had been revealed by a brief FBI investigation. Critics contended that the firings had been done to allow friends of the Clintons to take over the travel business and the involvement of the FBI was unwarranted.  The House Government Reform and Oversight Committee issued a report which accused the Clinton administration of having obstructed their efforts to investigate the affair. Special counsel Robert Fiske said that Hillary Clinton was involved in the firing and gave ""factually false"" testimony to the GAO, congress, and the independent counsel. However Fiske said there was not enough evidence to prosecute."
Bill Clinton,42,Impeachment and acquittal,"After a House inquiry, Clinton was impeached on December 19, 1998, by the House of Representatives. The House voted 228–206 to impeach him for perjury to a grand jury and voted 221–212 to impeach him for obstruction of justice. Clinton was only the second U.S. president (after Andrew Johnson) to be impeached. Impeachment proceedings were based on allegations that Clinton had illegally lied about and covered up his relationship with 22-year-old White House (and later Department of Defense) employee Monica Lewinsky. After the Starr Report was submitted to the House providing what it termed ""substantial and credible information that President Clinton Committed Acts that May Constitute Grounds for an Impeachment"", the House began impeachment hearings against Clinton before the mid-term elections. To hold impeachment proceedings, the Republican leadership called a lame-duck session in December 1998. While the House Judiciary Committee hearings ended in a straight party-line vote, there was lively debate on the House floor. The two charges passed in the House (largely with Republican support, but with a handful of Democratic votes as well) were for perjury and obstruction of justice. The perjury charge arose from Clinton's testimony before a grand jury that had been convened to investigate perjury he may have committed in his sworn deposition during Jones v. Clinton, Paula Jones's sexual harassment lawsuit. The obstruction charge was based on his actions to conceal his relationship with Lewinsky before and after that deposition. The Senate later acquitted Clinton of both charges. The Senate refused to meet to hold an impeachment trial before the end of the old term, so the trial was held over until the next Congress. Clinton was represented by Washington law firm Williams & Connolly. The Senate finished a twenty-one-day trial on February 12, 1999, with the vote of 55 not guilty/45 guilty on the perjury charge and 50 not guilty/50 guilty on the obstruction of justice charge. Both votes fell short of the constitutional two-thirds majority requirement to convict and remove an officeholder. The final vote was generally along party lines, with no Democrats voting guilty, and only a handful of Republicans voting not guilty. On January 19, 2001, Clinton's law license was suspended for five years after he acknowledged to an Arkansas circuit court that he had engaged in conduct prejudicial to the administration of justice in the Jones case."
Bill Clinton,42,Pardons and commutations,"Clinton issued 141 pardons and 36 commutations on his last day in office on January 20, 2001. Controversy surrounded Marc Rich and allegations that Hillary Clinton's brother, Hugh Rodham, accepted payments in return for influencing the president's decision-making regarding the pardons. Federal prosecutor Mary Jo White was appointed to investigate the pardon of Rich. She was later replaced by then-Republican James Comey. The investigation found no wrongdoing on Clinton's part. Clinton also pardoned 4 defendants in the Whitewater Scandal, Chris Wade, Susan McDougal, Stephen Smith, and Robert W. Palmer, all of whom had ties to Clinton when he was governor of Arkansas. Former Clinton HUD Secretary Henry Cisneros, who pleaded guilty to lying to the FBI, was also among Clinton's pardons."
Bill Clinton,42,Campaign finance controversies,"In February 1997 it was discovered upon documents being released by the Clinton Administration that 938 people had stayed at the White House and that 821 of them had made donations to the Democratic Party and got the opportunity to stay in the Lincoln bedroom as a result of the donations. Some donors included Steven Spielberg, Tom Hanks, Jane Fonda, and Judy Collins. Top donors also got golf games and morning jogs with Clinton as a result of the contributions. Janet Reno was called on to investigate the matter by Trent Lott, but she refused. In 1996, it was found that several Chinese foreigners made contributions to Clinton's reelection campaign and the Democratic National Committee with the backing of the People's Republic of China. Some of them also attempted to donate to Clinton's defense fund. This violated United States law forbidding non-American citizens from making campaign contributions. Clinton and Al Gore also allegedly met with the foreign donors. A Republican investigation led by Fred Thompson found that Clinton was targeted by the Chinese government. However, Democratic senators Joe Lieberman and John Glenn said that the evidence showed that China only targeted congressional elections and not presidential elections."
Bill Clinton,42,Somalia,"American troops had first entered Somalia during the Bush administration in response to a humanitarian crisis and civil war. Though initially involved to assist humanitarian efforts, the Clinton administration shifted the objectives set out in the mission and began pursuing a policy of attempting to neutralize Somali warlords. In 1993, during the Battle of Mogadishu, two U.S. helicopters were shot down by rocket-propelled grenade attacks to their tail rotors, trapping soldiers behind enemy lines. This resulted in an urban battle that killed 18 American soldiers, wounded 73 others, and resulted in one being taken prisoner. Television news programs depicted the supporters of warlord Mohammed Aidid desecrating the corpses of troops. The backlash resulting from the incident prompted in a drop in support for American intervention in the country and coincided with a more cautious use of troops throughout the rest of the Clinton administration. Following a subsequent national security policy review, U.S. forces were withdrawn from Somalia and later conflicts were approached with fewer soldiers on the ground."
Bill Clinton,42,Rwanda,"In April 1994, genocide broke out in Rwanda. Intelligence reports indicate that Clinton was aware a ""final solution to eliminate all Tutsis"" was underway, long before the administration publicly used the word ""genocide."" Fearing a reprisal of the events in Somalia the previous year, Clinton chose not to intervene. Clinton has called his failure to intervene one of his main foreign policy failings, saying ""I don't think we could have ended the violence, but I think we could have cut it down. And I regret it."""
Bill Clinton,42,Bosnia and Herzegovina,"In 1993 and 1994, Clinton pressured Western European leaders to adopt a strong military policy against Bosnian Serbs during the Bosnian War. This strategy faced staunch opposition from the United Nations, NATO allies, and Congressional Republicans, leading Clinton to adopt a more diplomatic approach. In 1995, U.S. and NATO aircraft bombed Bosnian Serb targets to halt attacks on UN safe zones and pressure them into a peace accord that would end the Bosnian war. Clinton deployed U.S. peacekeepers to Bosnia in late 1995, to uphold the subsequent Dayton Agreement."
Bill Clinton,42,Irish peace talks,"In 1992, before his presidency, Clinton proposed sending a peace envoy to Northern Ireland, but this was dropped to avoid tensions with the British government. In November 1995, in a ceasefire during the Troubles, Clinton became the first president to visit Northern Ireland, examining both of the two divided communities of Belfast. Despite unionist criticism, Clinton used his visit as a way to negotiate an end to the violent conflict, playing a key role in the peace talks that produced the Good Friday Agreement in 1998."
Bill Clinton,42,Iran,"Clinton sought to continue the Bush administration's policy of limiting Iranian influence in the Middle East, which he laid out in the dual containment strategy. In 1994, Clinton declared that Iran was a ""state sponsor of terrorism"" and a ""rogue state,"" marking the first time that an American President used that term. Subsequent executive orders heavily sanctioned Iran's oil industry and banned almost all trade between U.S. companies and the Iranian government. In February 1996, the Clinton administration agreed to pay Iran US$131.8 million (equivalent to $227.72 million in 2021) in settlement to discontinue a case brought by Iran in 1989 against the U.S. in the International Court of Justice after the shooting down of Iran Air Flight 655 by the U.S. Navy guided missile cruiser. Following the 1997 election of reformist president Mohammad Khatami, the administration eased sanctions."
Bill Clinton,42,Iraq,"In Clinton's 1998 State of the Union Address, he warned Congress that Iraqi dictator Saddam Hussein was building an arsenal of chemical, biological and nuclear weapons. Clinton signed the Iraq Liberation Act of 1998 on October 31, 1998, which instituted a policy of ""regime change"" against Iraq, though it explicitly stated it did not provide for direct intervention on the part of American military forces. The administration then launched a four-day bombing campaign named Operation Desert Fox, lasting from December 16 to 19, 1998. At the end of this operation Clinton announced that ""So long as Saddam remains in power, he will remain a threat to his people, his region, and the world. With our allies, we must pursue a strategy to contain him and to constrain his weapons of mass destruction program, while working toward the day Iraq has a government willing to live at peace with its people and with its neighbors."" American and British aircraft in the Iraq no-fly zones attacked hostile Iraqi air defenses 166 times in 1999 and 78 times in 2000."
Bill Clinton,42,Osama bin Laden,"Capturing Osama bin Laden was an objective of the U.S. government during the Clinton presidency (and continued to be until bin Laden's death in 2011). Despite claims by Mansoor Ijaz and Sudanese officials that the Sudanese government had offered to arrest and extradite bin Laden, and that U.S. authorities rejected each offer, the 9/11 Commission Report stated that ""we have not found any reliable evidence to support the Sudanese claim."" In response to a 1996 State Department warning about bin Laden and the 1998 bombings of U.S. embassies in East Africa by al-Qaeda (which killed 224 people, including 12 Americans), Clinton ordered several military missions to capture or kill bin Laden, all of which were unsuccessful. In August 1998, Clinton ordered cruise missile strikes on terrorist targets in Afghanistan and Sudan, targeting the Al-Shifa pharmaceutical factory in Sudan, which was suspected of assisting bin Laden in making chemical weapons, and bin Laden's terrorist training camps in Afghanistan."
Bill Clinton,42,Sudan,"On August 20, 1998, Clinton ordered cruise missile strikes on Al-Shifa pharmaceutical factory in Khartoum, Sudan. The factory was destroyed by the missile attack it resulted in the death one employee and wounding 11 other people. Clinton's justification for the attack was that the factory was manufacturing nerve gas and that the factory has ties to Al-Qaeda. After the destruction of the factory there was a medicine shortage is Sudan due to the plant providing 50 percent of Sudans medicine and the destruction of the plant led to their no supplies of chloroquine a drug which is used to treat malaria. US officials would later acknowledge that there was no evidence the plant was acknowledging manufacturing or storing nerve gas. The attack provoked criticism of Clinton from journalists and academics including Christopher Hitchens, Seymour Hersh, Max Taylor, and others."
Bill Clinton,42,Kosovo,"In the midst of a brutal crackdown on ethnic Albanian separatists in the province of Kosovo by the Federal Republic of Yugoslavia, Clinton authorized the use of U.S. Armed Forces in a NATO bombing campaign against Yugoslavia in 1999, named Operation Allied Force. The stated reasoning behind the intervention was to stop the ethnic cleansing (and what the Clinton administration labeled genocide) of Albanians by Yugoslav anti-guerilla military units. General Wesley Clark was Supreme Allied Commander of NATO and oversaw the mission. With United Nations Security Council Resolution 1244, the bombing campaign ended on June 10, 1999. The resolution placed Kosovo under UN administration and authorized a peacekeeping force to be deployed to the region. NATO announced its soldiers all survived combat, though two died in an Apache helicopter crash. Journalists in the popular press criticized genocide statements by the Clinton administration as false and greatly exaggerated. Prior to the bombing campaign on March 24, 1999, estimates showed that the number of civilians killed in the over year long conflict in Kosovo had been approximately 1,800, with critics asserting that little or no evidence existed of genocide. In a post-war inquiry, the Organization for Security and Co-operation in Europe noted ""the patterns of the expulsions and the vast increase in lootings, killings, rape, kidnappings and pillage once the NATO air war began on March 24."" In 2001, the UN-supervised Supreme Court of Kosovo ruled that genocide (the intent to destroy a people) did not take place, but recognized ""a systematic campaign of terror, including murders, rapes, arsons and severe maltreatments"" with the intention being the forceful departure of the Albanian population. The term ""ethnic cleansing"" was used as an alternative to ""genocide"" to denote not just ethnically motivated murder but also displacement, though critics charge there is little difference. Slobodan Milošević, the president of Yugoslavia at the time of the atrocities, was eventually brought to trial before the International Criminal Tribunal for the former Yugoslavia in the Hague on charges including crimes against humanity and war crimes for his role in the war. He died in 2006, before the completion of the trial."
Bill Clinton,42,China,"Clinton aimed to increase trade with China, minimizing import tariffs and offering the country most favoured nation status in 1993, his administration minimized tariff levels in Chinese imports. Clinton initially conditioned extension of this status on human rights reforms, but ultimately decided to extend the status despite a lack of reform in the specified areas, including free emigration, treatment of prisoners in terms of international human rights, and observation of human rights specified by UN resolutions, among others. Relations were damaged briefly by the American bombing of the Chinese embassy in Belgrade in May 1999. Clinton apologized for the bombing, stating it was accidental. On October 10, 2000, Clinton signed into law the United States–China Relations Act of 2000, which granted permanent normal trade relations (PNTR) trade status to China. The president asserted that free trade would gradually open China to democratic reform. In encouraging Congress to approve the agreement and China's accession to the World Trade Organization (WTO), Clinton stated that more trade with China would advance America's economic interests, saying that ""economically, this agreement is the equivalent of a one-way street. It requires China to open its markets—with a fifth of the world's population, potentially the biggest markets in the world—to both our products and services in unprecedented new ways."""
Bill Clinton,42,Israeli-Palestinian conflict,"Clinton attempted to end the Israeli–Palestinian conflict. Secret negotiations mediated by Clinton between Israeli Prime Minister Yitzhak Rabin and Palestine Liberation Organization (PLO) Chairman Yasser Arafat led to a historic declaration of peace in September 1993, called the Oslo Accords, which were signed at the White House on September 13. The agreement led to the Israel–Jordan peace treaty in 1994 and the Wye River Memorandum in October 1998, however, this did not end the conflict. He brought Israeli prime minister Ehud Barak and Palestinian Authority chairman Yasser Arafat together at Camp David for the 2000 Camp David Summit, which lasted 14 days in July. Following the failure of the peace talks, Clinton said Arafat had ""missed the opportunity"" to facilitate a ""just and lasting peace."" In his autobiography, Clinton blames Arafat for the collapse of the summit. Following another attempt in December 2000 at Bolling Air Force Base, in which the president offered the Clinton Parameters, the situation broke down completely after the end of the Taba Summit and with the start of the Second Intifada."
Bill Clinton,42,Judicial appointments,"Clinton appointed two justices to the Supreme Court: Ruth Bader Ginsburg in 1993 and Stephen Breyer in 1994. Both justices went on to serve until the 2020s, leaving a lasting judicial legacy for President Clinton. Clinton was the first president in history to appoint more women and minority judges than white male judges to the federal courts. In his eight years in office, 11.6% of Clinton's court of appeals nominees and 17.4% of his district court nominees were black; 32.8% of his court of appeals nominees and 28.5% of his district court nominees were women."
Bill Clinton,42,Public opinion,"Throughout Clinton's first term, his job approval rating fluctuated in the 40s and 50s. In his second term, his rating consistently ranged from the high-50s to the high-60s. After his impeachment proceedings in 1998 and 1999, Clinton's rating reached its highest point. According to a CBS News/New York Times poll, Clinton left office with an approval rating of 68 percent, which matched those of Ronald Reagan and Franklin D. Roosevelt as the highest ratings for departing presidents in the modern era. Clinton's average Gallup poll approval rating for his last quarter in office was 61%, the highest final quarter rating any president has received for fifty years. Forty-seven percent of the respondents identified themselves as being Clinton supporters. As he was leaving office, a CNN/USA Today/Gallup poll revealed that 45 percent of Americans said they would miss him; 55 percent thought he ""would have something worthwhile to contribute and should remain active in public life""; 68 percent thought he would be remembered more for his ""involvement in personal scandal"" than for ""his accomplishments""; and 58 percent answered ""No"" to the question ""Do you generally think Bill Clinton is honest and trustworthy?"" The same percentage said he would be remembered as either ""outstanding"" or ""above average"" as a president, while 22 percent said he would be remembered as ""below average"" or ""poor"". ABC News characterized public consensus on Clinton as, ""You can't trust him, he's got weak morals and ethics—and he's done a heck of a good job."" In May 2006, a CNN poll comparing Clinton's job performance with that of his successor, George W. Bush, found that a strong majority of respondents said Clinton outperformed Bush in six different areas questioned. Gallup polls in 2007 and 2011 showed that Clinton was regarded by 13 percent of Americans as the greatest president in U.S. history. In 2014, 18 percent of respondents in a Quinnipiac University Polling Institute poll of American voters regarded Clinton as the best president since World War II, making him the third most popular among postwar presidents, behind John F. Kennedy and Ronald Reagan. The same poll showed that just 3% of American voters regarded Clinton as the worst president since World War II. A 2015 poll by The Washington Post asked 162 scholars of the American Political Science Association to rank all the U.S. presidents in order of greatness. According to their findings, Clinton ranked eighth overall, with a rating of 70 percent."
Bill Clinton,42,Public image,"Clinton was the first baby boomer president. Authors Martin Walker and Bob Woodward stated that Clinton's innovative use of sound bite-ready dialogue, personal charisma, and public perception-oriented campaigning were a major factor in his high public approval ratings. When Clinton played the saxophone on The Arsenio Hall Show, he was described by some religious conservatives as ""the MTV president"". Opponents sometimes referred to him as ""Slick Willie"", a nickname which was first applied to him in 1980 by Pine Bluff Commercial journalist Paul Greenberg; Greenberg believed that Clinton was abandoning the progressive policies of previous Arkansas Governors such as Winthrop Rockefeller, Dale Bumpers and David Pryor. The claim ""Slick Willie"" would last throughout his presidency. His folksy manner led him to be nicknamed Bubba, especially in the South. Since 2000, he has frequently been referred to as ""The Big Dog"" or ""Big Dog"". His prominent role in campaigning for President Obama during the 2012 presidential election and his widely publicized speech at the 2012 Democratic National Convention, where he officially nominated Obama and criticized Republican nominee Mitt Romney and Republican policies in detail, earned him the nickname ""Explainer-in-Chief"". Clinton drew strong support from the African American community and insisted that the improvement of race relations would be a major theme of his presidency. In 1998, Nobel laureate Toni Morrison called Clinton ""the first Black president"", saying, ""Clinton displays almost every trope of blackness: single-parent household, born poor, working-class, saxophone-playing, McDonald's-and-junk-food-loving boy from Arkansas"". Morrison noted that Clinton's sex life was scrutinized more than his career accomplishments, and she compared this to the stereotyping and double standards that, she said, blacks typically endure. Many viewed this comparison as unfair and disparaging both to Clinton and to the African-American community at large. Clinton, a Baptist, has been open about his faith. Despite praise, Clintons personal behaviour repeatedly attracted scrutiny. Journalist Christopher Hitchens strongly criticized Clinton referring to Clinton as “a really arrogant, contemptible, dishonest president”. Hitchens also strongly criticized Clinton ordering missile strikes against Sudan, his pardons, and his extramarital affairs with Monica Lewinsky and Gennifer Flowers. Ann Coulter detailed her criticism of Clinton in a book High crimes and misdemeanors in which she criticized Clinton over lying under oath, lying to the american people, and dodging the draft."
Bill Clinton,42,Sexual assault and misconduct allegations,"Several women have publicly accused Bill Clinton of sexual misconduct, including rape, harassment, and sexual assault. Additionally, some commentators have characterized Clinton's sexual relationship with former White House intern Monica Lewinsky as predatory or non-consensual, despite the fact that Lewinsky called the relationship consensual at the time. These allegations have been revisited and lent more credence in 2018, in light of the #MeToo movement, with many commentators and Democratic leaders now saying Clinton should have been compelled to resign after the Lewinsky affair. In 1994, Paula Jones initiated a sexual harassment lawsuit against Clinton, claiming he had made unwanted advances towards her in 1991; Clinton denied the allegations. In April 1998, the case was initially dismissed by Judge Susan Webber Wright on the grounds that it lacked legal merit. Jones appealed Webber Wright's ruling, and her suit gained traction following Clinton's admission to having an affair with Monica Lewinsky in August 1998. In 1998, lawyers for Paula Jones released court documents that alleged a pattern of sexual harassment by Clinton when he was Governor of Arkansas. Robert S. Bennett, Clinton's main lawyer for the case, called the filing ""a pack of lies"" and ""an organized campaign to smear the President of the United States"" funded by Clinton's political enemies. Clinton later agreed to an out-of-court settlement and paid Jones $850,000. Bennett said the president made the settlement only so he could end the lawsuit for good and move on with his life. During the deposition for the Jones lawsuit, which was held at the White House, Clinton denied having sexual relations with Monica Lewinsky—a denial that became the basis for an impeachment charge of perjury. In 1998, Kathleen Willey alleged that Clinton had groped her in a hallway in 1993. An independent counsel determined Willey gave ""false information"" to the FBI, inconsistent with sworn testimony related to the Jones allegation. On March 19, 1998, Julie Hiatt Steele, a friend of Willey, released an affidavit, accusing the former White House aide of asking her to lie to corroborate Ms. Willey's account of being sexually groped by Clinton in the Oval Office. An attempt by Kenneth Starr to prosecute Steele for making false statements and obstructing justice ended in a mistrial and Starr declined to seek a retrial after Steele sought an investigation against the former Independent Counsel for prosecutorial misconduct. Linda Tripp's grand jury testimony also differed from Willey's claims regarding inappropriate sexual advances. Also in 1998, Juanita Broaddrick alleged that Clinton had raped her in the spring of 1978, although she said she did not remember the exact date. To support her charge, Broaddrick notes that she told multiple witnesses in 1978 she had been raped by Clinton, something these witnesses also state in interviews to the press. Broaddrick had earlier filed an affidavit denying any ""unwelcome sexual advances"" and later repeated the denial in a sworn deposition. In a 1998 NBC interview wherein she detailed the alleged rape, Broaddrick said she had denied (under oath) being raped only to avoid testifying about the ordeal publicly. The Lewinsky scandal has had an enduring impact on Clinton's legacy, beyond his impeachment in 1998. In the wake of the #MeToo movement (which shed light on the widespread prevalence of sexual assault and harassment, especially in the workplace), various commentators and Democratic political leaders, as well as Lewinsky herself, have revisited their view that the Lewinsky affair was consensual, and instead characterized it as an abuse of power or harassment, in light of the power differential between a president and a 22-year old intern. In 2018, Clinton was asked in several interviews about whether he should have resigned, and he said he had made the right decision in not resigning. During the 2018 Congressional elections, The New York Times alleged that having no Democratic candidate for office asking Clinton to campaign with them was a change that attributed to the revised understanding of the Lewinsky scandal. However, former DNC interim chair Donna Brazile previously urged Clinton in November 2017 to campaign during the 2018 midterm elections, in spite of New York U.S. senator Kirsten Gillibrand's recent criticism of the Lewinsky scandal."
Bill Clinton,42,Relationship with Jeffrey Epstein,"In the early 2000s, Clinton took flights on Jeffrey Epstein's private jet in connection with Clinton Foundation work. In 2002, a spokesperson for Clinton praised Epstein as ""a committed philanthropist"" with ""insights and generosity"". While Clinton was president Epstein visited the white house at least 17 times. Years later, Epstein was convicted on sex trafficking charges. Clinton's office released a statement in 2019 saying, ""President Clinton knows nothing about the terrible crimes Jeffrey Epstein pleaded guilty to in Florida some years ago, or those with which he has been recently charged in New York. In 2002 and 2003, President Clinton took four trips on Jeffrey Epstein's airplane: one to Europe, one to Asia, and two to Africa, which included stops in connection with the work of the Clinton Foundation. Staff, supporters of the Foundation, and his Secret Service detail traveled on every leg of every trip. [...] He's not spoken to Epstein in well over a decade."" However, later reports showed that Clinton had flown on Epstein's plane 26 times. In another statement Clinton said “one meeting with Epstein in his Harlem office in 2002, and around the same time made one brief visit to Epstein’s New York apartment with a staff member and his security detail.” In July 2019 it was reported that that Clinton attended a dinner with Epstein in 1995, a meeting with Epstein Clinton had not previously disclosed."
Bill Clinton,42,Alleged affairs,"Clinton admitted to having extramarital affairs with singer Gennifer Flowers and Monica Lewinsky. Actress Elizabeth Gracen, Miss Arkansas winner Sally Perdue, and Dolly Kyle Browning all claimed that they had affairs with Clinton during his time as governor of Arkansas. Browning would later sue Clinton, Bruce Lindsey, Robert S. Bennett, and Jane Mayer alleging they engaged in a conspiracy to attempt to block her from publishing a book loosely based on her relationship with Clinton and tried to defame him. However Browning's lawsuit was dismissed."
Bill Clinton,42,Post-presidency (2001–present),"Bill Clinton has continued to be active in public life since leaving office in 2001, giving speeches, fundraising, and founding charitable organizations, and has spoken in prime time at every Democratic National Convention."
Bill Clinton,42,Activities until 2008 campaign,"In 2002, Clinton warned that pre-emptive military action against Iraq would have unwelcome consequences, and later claimed to have opposed the Iraq War from the start (though some dispute this). In 2005, Clinton criticized the Bush administration for its handling of emissions control, while speaking at the United Nations Climate Change conference in Montreal. The William J. Clinton Presidential Center and Park in Little Rock, Arkansas, was dedicated in 2004. Clinton released a best-selling autobiography, My Life, in 2004. In 2007, he released Giving: How Each of Us Can Change the World, which also became a New York Times Best Seller and garnered positive reviews. In the aftermath of the 2004 Asian tsunami, U.N. secretary-general Kofi Annan appointed Clinton to head a relief effort. After Hurricane Katrina, Clinton joined with fellow former president George H. W. Bush to establish the Bush-Clinton Tsunami Fund in January 2005, and the Bush-Clinton Katrina Fund in October of that year. As part of the tsunami effort, these two ex-presidents appeared in a Super Bowl XXXIX pre-game show, and traveled to the affected areas. They also spoke together at the funeral of Boris Yeltsin in April 2007. Based on his philanthropic worldview, Clinton created the William J. Clinton Foundation to address issues of global importance. This foundation includes the Clinton Foundation HIV and AIDS Initiative (CHAI), which strives to combat that disease, and has worked with the Australian government toward that end. The Clinton Global Initiative (CGI), begun by the Clinton Foundation in 2005, attempts to address world problems such as global public health, poverty alleviation and religious and ethnic conflict. In 2005, Clinton announced through his foundation an agreement with manufacturers to stop selling sugary drinks in schools. Clinton's foundation joined with the Large Cities Climate Leadership Group in 2006 to improve cooperation among those cities, and he met with foreign leaders to promote this initiative. The foundation has received donations from many governments all over the world, including Asia and the Middle East. In 2008, Foundation director Inder Singh announced deals to reduce the price of anti-malaria drugs by 30 percent in developing nations. Clinton also spoke in favor of California Proposition 87 on alternative energy, which was voted down."
Bill Clinton,42,2008 presidential election,"During the 2008 Democratic presidential primary campaign, Clinton vigorously advocated on behalf of his wife, Hillary. Through speaking engagements and fundraisers, he was able to raise $10 million toward her campaign. Some worried that as an ex-president, he was too active on the trail, too negative to Clinton rival Barack Obama, and alienating his supporters at home and abroad. Many were especially critical of him following his remarks in the South Carolina primary, which Obama won. Later in the 2008 primaries, there was some infighting between Bill and Hillary's staffs, especially in Pennsylvania. Considering Bill's remarks, many thought he could not rally Hillary supporters behind Obama after Obama won the primary. Such remarks lead to apprehension that the party would be split to the detriment of Obama's election. Fears were allayed August 27, 2008, when Clinton enthusiastically endorsed Obama at the 2008 Democratic National Convention, saying all his experience as president assures him that Obama is ""ready to lead"". After Hillary Clinton's presidential campaign was over, Bill Clinton continued to raise funds to help pay off her campaign debt."
Bill Clinton,42,After the 2008 election,"Clinton with then-President Barack Obama and Senior Advisor Valerie Jarrett in July 2010 Clinton, his wife Hillary, and Indian Prime Minister Narendra Modi in New York City on September 29, 2014 In 2009, Clinton travelled to North Korea on behalf of two American journalists imprisoned there. Euna Lee and Laura Ling had been imprisoned for illegally entering the country from China. Jimmy Carter had made a similar visit in 1994. After Clinton met with North Korean leader Kim Jong-il, Kim issued a pardon. Since then, Clinton has been assigned many other diplomatic missions. He was named United Nations Special Envoy to Haiti in 2009 following a series of hurricanes which caused $1 billion in damages. Clinton organized a conference with the Inter-American Development Bank, where a new industrial park was discussed in an effort to ""build back better"". In response to the 2010 Haiti earthquake, U.S. president Barack Obama announced that Clinton and George W. Bush would coordinate efforts to raise funds for Haiti's recovery. Funds began pouring into Haiti, which led to funding becoming available for Caracol Industrial Park in a part of the country unaffected by the earthquake. While Hillary Clinton was in South Korea, she and Cheryl Mills worked to convince SAE-A, a large apparel subcontractor, to invest in Haiti despite the company's deep concerns about plans to raise the minimum wage. In the summer of 2010, the South Korean company signed a contract at the U.S. State Department, ensuring that the new industrial park would have a key tenant. In 2010, Clinton announced support of, and delivered the keynote address for, the inauguration of NTR, Ireland's first environmental foundation. At the 2012 Democratic National Convention, Clinton gave a widely praised speech nominating Barack Obama."
Bill Clinton,42,2016 presidential election and after,"Clinton campaigning at an election rally for his wife Hillary who was running for President of the United States, 2016 Clinton speaking at the 2016 Democratic National Convention During the 2016 presidential election, Clinton again encouraged voters to support Hillary, and made appearances speaking on the campaign trail. In a series of tweets, then-President-elect Donald Trump criticized his ability to get people out to vote. Clinton served as a member of the electoral college for the state of New York. He voted for the Democratic ticket consisting of his wife Hillary and her running-mate Tim Kaine. On September 7, 2017, Clinton partnered with former presidents Jimmy Carter, George H. W. Bush, George W. Bush, and Barack Obama to work with One America Appeal to help the victims of Hurricane Harvey and Hurricane Irma in the Gulf Coast and Texas communities. In 2020, Clinton again served as a member of the United States Electoral College from New York, casting his vote for the successful Democratic ticket of Joe Biden and Kamala Harris."
Bill Clinton,42,Post-presidential health concerns,"In September 2004, Clinton underwent quadruple bypass surgery. In March 2005, he again underwent surgery, this time for a partially collapsed lung. On February 11, 2010, he was rushed to New York-Presbyterian/Columbia Hospital in Manhattan after complaining of chest pains, and he had two coronary stents implanted in his heart. After this procedure, Clinton adopted a plant-based whole foods (vegan) diet, which had been recommended by doctors Dean Ornish and Caldwell Esselstyn. However, he has since incorporated fish and lean proteins at the suggestion of Dr. Mark Hyman, a proponent of the pseudoscientific ethos of functional medicine. As a result, he is no longer a strict vegan. In October 2021, Clinton was treated for sepsis at the University of California, Irvine Medical Center."
