Film name,Genre,Plot,Directed by,Written by,Story by,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Budget,Box office
Ben 10: Race Against Time,Science Fiction,"The story opens in an alternate Bellwood as a mysterious black figure appears on the town’s main street and immediately starts destroying things around him. Ten-year-old Benjamin Kirby Tennyson, in the form of the pyronite Heatblast, confronts and obliterates him after a short battle.
The next day, Ben goes back to school, and has trouble adjusting to normal life again. After a bad day, he gets bullied by Cash, and J.T., and two girls he had tried to flirt with earlier, resulting in transforming into Grey Matter, which he attempted to transform into Four Arms by getting his revenge on the four bullies by causing chaos at the diner into a little food fight where Ms. Dalton works. Later, he and his ten-year-old first cousin Gwendolyn Catherine Tennyson come across the same villain Ben defeated earlier. Max Tennyson identifies him as Eon, a member of a time-controlling alien species from an unknown dimension known as the Chronians, whom the Plumbers captured almost two centuries ago. When he arrived, he was half dead and brought a device with him called the Hands of Armageddon, which would open a gateway to his home dimension and unleash his race upon Earth if activated. They travel to the containment facility where Eon is supposed to be kept in suspended animation, only to find it empty and his guard aged to near-death. The guard tells Max not to let Eon find the hardware store, where the Hands were kept. Before he dies, the Plumber warns Ben that Eon is after him.
Traveling back to Bellwood, Max takes his grandchildren Ben and Gwen to the location of the Hands of Armageddon, guarded by the few remaining Plumbers. Eon follows them and breaks into the facility, but cannot activate the device. When Ben attempts to use the Omnitrix, it malfunctions, glowing bright purple and giving Ben an intense burning pain. Eon attempts to kidnap Ben, claiming it to be a rescue, but Ben escapes. Eon manages to corner Ben, explaining that his race learned to control time itself, but trapped themselves by misusing their power. He claims that his fate is intertwined with Ben's. Eon is scared off by an elderly Plumber before he can elaborate. Grandpa Max decides it would be best for Ben to leave Bellwood so that Eon won't find him, but Ben bravely refuses and they both come to a deal where Ben will be monitored daily by a disguised Plumber. When Ben goes to the school gym to be alone, Principal White attempts to calm Ben's fears just when Eon freezes then reverses time as he throws White out of the way. Eon then tries to show Ben his future by disabling the Omnitrix immense power. However, Ben sets off the fire alarm, strikes Eon in the side, and breaks out of his grasp. This time, Ben is able to become Diamondhead and fights him off. Later that night, Ben decides to lure Eon into a trap by purposefully leaving himself open, but this backfires and he is captured along with Gwen and Max.
At the Plumber facility storing the Hands of Armageddon, Eon explains some of the background of the Omnitrix: Ben can only remain in his alien forms for ten minutes at a time, a fail-safe to prevent them from overwhelming his human self and personality with the form's own. He also reveals that he is an evil version of Ben from an alternate timeline, which Max admits he never wanted Ben to find out. Eon knows how to deactivate the fail safe, and in doing so, can turn Ben into a  mindless Chronian under his control alone. This is because the Hands need the energy of a young Chronian, which is why he had abducted Ben. Eon presses the Omnitrix that is glowing bright purple and turns Ben into a younger evil clone of him. Meanwhile, Principal White has gotten out of the nurse's office and finds the imprisoned Plumbers. When trying to find the key to that room, they point to the button near the door, which freed them all. Gwen and Max manage to free themselves. While Max tries to disable the Hands of Armageddon at the cost of his own life, Gwen reaches to Ben inside young Eon. Ben successfully overcomes Eon and turns back to normal, and with the help of the other Plumbers, manages to save Max and disables the time rift, sending Eon's race back to their own dimension.
Just when it seems like they've won, time stops for everyone but Ben. The older Eon reappears, angered at Ben's victory. After Ben points out that the Hands and Eon's world is gone, Eon throws Ben across the room in fury. Ben transforms into Wildmutt and fights him off, eventually knocking him into the Hands of Armageddon, destroying both the Hands and Eon. Time then resumes, and Gwen takes Wildmutt to a talent show that the school is having, where they perform a magic trick and win second place. After the show, Grandpa Max recommends that it is time to give the Omnitrix a much-needed rest for a while and he, Ben and Gwen go for pizza. Ben admits that he will miss it. Suddenly, in space, an alien armada assembles, hinting that Ben and Max's longtime archenemy Vilgax has returned.",Alex Winter,,Thomas Pugsley/ Greg Klein,Evan W. Adler/ Sam Register[a]/ Tramm Wigzell[a]/ Alex Winter[b]/ Ramsey Ann Naito[b],Graham Phillips/ Christien Anholt/ Haley Ramm/ Beth Littleford/ Don McManus/ Sab Shimono/ Aloma Wright/ Robert Picardo/ Lee Majors,Morgan Pierre Susser,Suzanne Hines,Andy Sturmer,,Warner Home Video,,67 minutes,US$5 million,
Beyond the Sky (film),Science Fiction,The film follows a documentary filmmaker and his crew as they seek to expose the lies of alien abductees and their encounter with a young woman whose dark secret leads them to uncover a disturbing truth.,Fulvio Sestito,,Rebecca Berrih/ Fulvio Sestito/ Rob Warren Thomas,Rebecca Berrih/ Evan Cholfin/ Martine Melloul,Ryan Carnes/ Jordan Hinson/ Claude Duhamel/ Martin Sensmeier/ Don Stark/ Peter Stormare/ Dee Wallace,Chris Saul,Zach Scott,Don Davis,,RLJE Films,"September 21, 2018",82 minutes,,
Beyond the Time Barrier,Science Fiction,"U.S. Air Force test pilot Major Bill Allison flies the X-80 experimental aircraft to sub-orbital spaceflight successfully, though he loses radio contact. When Major Allison returns to the airbase, it appears abandoned, old and deserted.  Mystified, he sees a futuristic city on the horizon and heads for it. The major is rendered unconscious and captured.
When Allison wakes, he finds himself in a dystopian underground city known as the Citadel.  Unnerved by his captors' refusal to speak with him, Allison initially reacts hostilely, but he eventually calms down and is brought to their leader, the Supreme.  The Supreme explains that he and his second-in-command, the Captain, are the only two residents of the Citadel who are able to speak or hear.  The rest of the inhabitants, including the Supreme's granddaughter Trirene, are deaf-mutes, and everyone except possibly Trirene is sterile.  A telepath, Trirene reads Allison's thoughts and indicates to the Supreme that she believes him not to be a spy, as the Captain suspects.
The Captain sends Allison to be imprisoned with a group of bald and violent mutants who are determined to kill everyone in the Citadel.  As the mutants attack him, Allison overpowers one and demands answers. They claim to be the survivors of a ""cosmic plague"", and they blame the residents of the Citadel for their problems.  The Captain releases Allison and explains that Trirene has convinced the Supreme that he is not an enemy.  Sensing his confusion, Trirene shows him historical photographs that help explain the Citadel's history, and at his urging, leads him to the ""scapes"", two scientists and a Russian woman officer.
After disabling surveillance devices, the scientists explain that Allison has traveled through time to the year 2024.  Nuclear weapons testing damaged the Earth's atmosphere, letting through dangerous cosmic rays in 1971, resulting in the cosmic plague.  Those who fled underground to the Citadel were still afflicted. Although they were not as badly afflicted as those who stayed above ground, there have been no births in twenty years. The 'scapes themselves are also accidental time travelers: Russian Captain Markova comes from 1973, and General Kruse and Professor Bourman arrived from colonies on other planets in 1994.  Markova explains that the Supreme needs Allison to try to repopulate their society with Trirene's help. The scientists warn Allison not to trust the Citadel.  As the Captain arrives to re-enable the security device, he in turn warns Allison not to trust the scientists.
As Trirene and Allison spend more time together, they fall in love.  Although initially reluctant, Allison joins the 'scapes in a plan to turn Trirene against her people so that he can return to the past and try to change history. Markova sets the mutants free to attack the residents.  She then demands that she accompany Allison, not Trirene, and to 1973, not 1960.  Kruse and Bourman arrive, and Kruse shoots Markova for her treachery.  Then Bourman knocks out Kruse, explaining that Kruse was planning to hijack the aircraft.  Bourman, however, also intends to use the X-80 to return to his own time. As Allison and Bourman struggle over Kruse's pistol, a stray bullet kills Trirene before Allison can overcome Bourman.
Allison takes Trirene's body to the Supreme, who is distraught over both his granddaughter's death and the doom of his people, now that the last fertile person has died.  The Supreme directs Allison toward a secret passage out, persuaded by Allison that there is always hope.  Returned to his own time, Allison recounts his fantastic adventure in a recorded debriefing.  As high-ranking officials visit Allison in the hospital, he is revealed to have aged drastically and is now an elderly man.  Allison frantically warns them of the future events, and one of them says that they have a lot to think about.",Edgar G. Ulmer,,,Robert Clarke,Robert Clarke/ Darlene Tompkins/ Vladimir Sokoloff,Meredith M. Nicholson,Jack Ruggiero,Darrell Calker,,American International Pictures,September 1960,75 minutes,"$125,000",
Beyond Witch Mountain,Science Fiction,"Tia and Tony follow their Uncle Bené as he leaves the Witch Mountain colony. As they catch up to him in the woods, Deranian and Foreman, henchmen of billionaire Aristotle Bolt, shoot tranquilizer darts toward the trio in an attempt to capture the children. Bené reverses the darts in mid-air, and one strikes Foreman as Deranian runs from the scene.
Tia and Tony learn that Bené has left the colony in search of his long-lost grandson. In a vision, Bené discovered that his grandson, Gregory, also a survivor from their lost world, used his telekinetic powers to move a log across a river to save drowning children. Bené first encourages Tia and Tony to return to the safety of Witch Mountain, but they insist that they can help and Bené concedes. Tia, Tony and Bené set up camp in the woods for the night, and they begin to visualize a cabin, which they draw in the dirt with a stick. Bené finally reveals to the children that his time on Earth has come to an end. As he passes away and his body evaporates, he tells the children to go to the cabin to seek help in finding Gregory.
The next morning, Tia ascertains that the cabin belonged to Jason O’Day. They reunite with Jason, who reluctantly agrees to help them in finding Gregory and bringing him home to Witch Mountain, after Tony reveals that Bolt is again pursuing them. The children are also reunited with Winkie, Tia's black cat, who she entrusted to Jason at the end of Escape.
Meanwhile, Bolt, now aware that the children have left their secret colony, sends Deranian to bring Jason to him, in an attempt to lure the children to Bolt. When Jason and the children are briefly separated on a shopping trip, Jason is held up at gunpoint by Deranian and Foreman and forced to drive to Bolt's estate. Winkie leaps out of the window of Jason's camper, and telepathically informs Tia of Jason's plight.
Jason, meanwhile, is drugged by Bolt in an attempt to gain information about the children, and Jason inadvertently reveals that he has been in contact with the children. The children hitchhike their way to Bolt's estate to rescue Jason. Using their telekinetic powers, they cause a commotion inside the home, which allows them the opportunity to escape with Jason. The trio successfully escapes from Bolt in time to retrieve Gregory from a hospital, where he has been under observation. Tia and Tony teach Gregory about their people, and the colony of Witch Mountain, and Gregory happily agrees to be returned to his people, having already had visions of his impeding rescue.
Jason brings Tia, Tony and Gregory to the woods near Witch Mountain. The children begin walking towards the colony, but Tony and Tia decide that they should seek out other survivors from their world, and bring them home to Witch Mountain. As Gregory continues on to Witch Mountain, Tia and Tony return to Jason's camper, and Jason agrees to help them in their efforts to retrieve other survivors.",Robert Day,Robert Malcolm Young/ B.W. Sandefur/ Hal Kanter,Robert Malcolm Young,Jan Williams,,,,,,,,60 minutes,,
Billy Frankenstein,Science Fiction,"Billy Frankenstein tells the story of a kid named Billy Frank (Jordan Lamoureux), who is related to the distant Victor Frankenstein, along with his artistic mother, Sandy (Melissa Williamson) and workaholic father George (Daran Norris). Meanwhile, a man named Bloodstone (Peter Spellos) dreams of bringing the Frankenstein monster to life, but is now unable to because the Frankenstein castle is up for auction. He invites the Franks to move into the castle in the hopes of using Billy (who is the latest relative to Frankenstein) to bring the monster to life. Also, an unintelligent officer named Constable Frogg (John Maynard) has a family history of other Froggs capturing the Frankenstein monster, and dreams of continuing the legacy. Frogg also constantly receives phone calls from prank callers who say ""ribbit ribbit"". Frogg is hired by a man named Otto von Sloane (Vernon Wells), and his lady Fraulein (Griffin Drew), to scare the Franks into selling him the castle and make way for a mall.
Billy, his mother Sandy and Billy's aunt Thelma (Kristin Jadrnicek) arrive at the castle and meet Bloodstone, who introduces himself as the caretaker of the house. Billy discovers one of Dr. Frankenstein's books about life and death and finds a map of the castle inside the book which leads him into the basement where he discovers the inanimate Frankenstein monster. When Billy falls asleep in the basement, the monster comes to life. Rather than being scary and threatening, the monster turns out to be friendly and confused. Billy wakes up later to discover the monster had gotten loose and goes out to find him, as does Bloodstone, who hires Sloane's lawyer (who announced the house repossession) to find Billy and the monster. Frogg disguises himself as a cable guy and sets up microphones around the house. Billy eventually comes across the monster, befriends it and brings the monster, poorly disguised as his grandmother, through a nearby village. Soon though, the monster begins to run out of power and so Billy and Bloodstone take him back to the lab basement to recharge him.
Billy's father, George, finally arrives home much to Billy's excitement. George announces that he got fired from his job, but isn't worried because of his family importance and inheritance to the castle, but Billy and Sandy tell him that the lawyer had told them earlier in the film that they need to raise $25,000 to buy the castle, so George comes up with the idea of inviting Sloane to dinner to discuss the payment. Billy and Bloodstone try bring the monster back to life, but leave when they think they've failed, but the monster shows signs of life when they leave. Billy and Bloodstone try to hide the monster from prying eyes, but Thelma faints after seeing him. Sloane and Fraulein visit Frogg to find he has disguised himself as the monster, which Sloane takes an interest in. While out shopping, George and Sandy buy a Frankenstein monster doll to give to Billy as a present and arrive home to give Billy the doll and have dinner with Sloane and Fraulein. Finally, Sandy sees the monster for herself, who Sloane mistakes for Frogg. When Sloane is convinced of the monster's existence, he and Fraulein both flee.
The film ends with the Franks, Thelma, Bloodstone and Frogg, raising the $25,000 by having tourist attractions in their castle, complete with photos with the Frankenstein monster and tours down to the lab, where a little girl pulls the lever and electrocutes herself, making her resemble the Bride of Frankenstein. When the Franks end up wondering what happened to Sloane's lawyer, we see the lawyer, still looking for Billy and the monster, asking Dracula where they are, and Dracula points into the direction of Transylvania, which the lawyer follows.",Fred Olen Ray,Kim Ray,,Ashok Amritraj/ Andrew Stevens,Jordan Lamoureux/ Mary Elizabeth McGlynn/ Daran Norris/ Peter Spellos/ Brian Carrillo,,Randy Carter,,,,1998,95 minutes,,
Black Adam (film),Science Fiction,"In 2600 BC, the tyrannical king Ahk-Ton of Kahndaq creates the Crown of Sabbac to attain great power. After attempting to stage a revolt, a young slave boy is given the powers of Shazam by the Council of Wizards, transforming him into Kahndaq's heroic champion, who kills Ahk-Ton and ends his reign.
In the present day, Kahndaq is oppressed by the Intergang as Adrianna Tomaz, an archaeologist and resistance-fighter, tries to locate the Crown of Sabbac with the help of her brother Karim and their colleagues Samir and Ishmael. As Adrianna obtains the crown, Intergang ambushes them and kills Samir, forcing Adrianna to read an incantation that awakens Teth-Adam, whom she believes to be Kahndaq's champion, from a slumber. As he slaughters most of the Intergang troops, US government official Amanda Waller deems Adam a threat and contacts the Justice Society to apprehend him. Justice Society members Hawkman, Doctor Fate, Cyclone, and Atom Smasher arrive in time to stop Adam from causing further destruction to Kahndaq and Intergang's troops, and explain to Adrianna that Adam was not an entombed savior, but an imprisoned madman.
Ishmael reveals himself as the leader of Intergang in Kahndaq, pursuing Adrianna's teenage son Amon, who has stolen and hidden the crown. Adam, Adrianna, and the Justice Society find the crown and intend to trade it for Amon. Reaching Ishmael, he reveals himself as the last descendant of King Ahk-Ton and wants his rightful place on the throne. Adrianna willingly gives the crown to save Amon's life, but Ishmael betrays his part of the deal and shoots at Amon, causing Adam, trying to save Amon, to lose control and destroy the hideout with his power, killing Ishmael and wounding Amon. Guilt-ridden, Adam flees to the ruins of Ahk-Ton's palace and reveals to Hawkman that the legends of Kahndaq's champion were misattributed; it was Adam's son, Hurut, who was granted Shazam's powers and became Kahndaq's champion. Knowing that Hurut was invincible, Ahk-Ton instructed assassins to execute Hurut's family, including Adam and Hurut's mother. Hurut gave Adam his powers to save his life and Ahk-Ton's assassins immediately killed the de-powered Hurut, causing an enraged Adam to slaughter all of the king's men and inadvertently destroyed Kahndaq's palace. Subsequently deemed unworthy by the Council of Wizards, Adam killed all except Shazam in the fight, who imprisoned him along with the Crown of Sabbac within what became Adam's tomb.
Feeling incapable of becoming a true hero, Adam surrenders and the Justice Society take him to a secret underwater Task Force X black site in Antarctica, where Fate has a premonition of Hawkman's impending death. As the Justice Society returns to the city, they realize Ishmael intentionally provoked Adam to kill him while he wore the Crown, so as to be damned to Hell and be reborn as champion of the six demons of Sabbac, arising from the underworld to claim his throne and the power held within. When Sabbac summons the Legions of Hell to terrorize Kahndaq, the people are rallied by Amon, Adrianna, and Karim to repel the demons as the Justice Society prepares to face Sabbac. However, Fate creates a magic force field around the ruins preventing his teammates from entering, disclosing that Hawkman's death can be avoided with his own sacrifice. As he fights Sabbac alone, Fate uses astral projection to release Adam while talking to him in his cryo sleep. Sabbac kills Fate, dissolving the force field to allow the other heroes to fight, and Adam arrives just as Sabbac is about to kill the Justice Society. With aid from Hawkman using Fate's helmet, Adam kills Sabbac, and the Justice Society departs on good terms with Adam, who accepts his new role as Kahndaq's protector after destroying the old throne and adopts a new name: Black Adam.
In a mid-credits scene, Waller communicates with a defiant Adam and warns him against leaving Kahndaq, before Superman arrives and suggests that they should talk.",Jaume Collet-Serra,Adam Sztykiel/ Rory Haines/ Sohrab Noshirvani,,Beau Flynn/ Hiram Garcia/ Dwayne Johnson/ Dany Garcia,Dwayne Johnson/ Aldis Hodge/ Noah Centineo/ Sarah Shahi/ Marwan Kenzari/ Quintessa Swindell/ Mo Amer/ Bodhi Sabongui/ Pierce Brosnan,Lawrence Sher,Michael L. Sale/ John Lee,Lorne Balfe,,Warner Bros. Pictures,,125 minutes,$195–200 million,$319.7 million
The Black Hole (2016 film),Science Fiction,"A violinist has hallucinations that show her the collapse of space and time. The visions she experiences, and the things she hears, leads her to a portal through time and space to a parallel dimension.",Mark Steven Grove,Mark Daniels,,Meryem Ersoz,Malcolm McDowell/ Dean Cain/ Izzie Steele/ Natalie Distler,Jon Firestone,,Jeremy Christopher,,ITN Distribution,"December 2, 2016",111 minutes,,
Brick Bradford (serial),Science Fiction,"Brick Bradford is assigned by the government to aid Doctor  Gregor Tymak, scientist and inventor who is working on an ""Interceptor Ray"" that can destroy incoming rockets.  Unfortunately, it can also be used as a death ray, bringing it to the attention of foreign spy agent Laydron. Tymak uses his door into the fifth dimension to escape criminals and it takes him to the far side of the Moon (which luckily has air and is a rocky terrain without craters). There he is captured and sentenced to die by freezing to absolute zero by the Queen Khana, despot of the Moon, because they do not believe he has come from the Earth.
The action moves to the Moon as the ray requires a special element called Lunarium (with an atomic mass of 200) previously only found in a meteorite.  Working with exiles in the lunar wasteland, the heroes overthrow Queen Khana and return with the Lunarium.
However, the device still requires a formula hidden on an uncharted island 200 years in the past, so Brick and sidekick Sandy Sanderson travel in Tymak's time machine, the Time Top, to retrieve it.  The final third of the serial is spent on modern day Earth with more trouble from the spy Laydron.",Spencer Gordon Bennet/ (as Spencer Bennet)/ Thomas Carr,Clarence Gray/ (comic strip)/ William Ritt/ (comic strip),,Sam Katzman,Kane Richmond/ Rick Vallin/ Linda Leighton/ Pierre Watkin,Ira H. Morgan,Earl Turner,,,Columbia Pictures,"December 18, 1947",257 minutes/ (15 episodes),,
Brother Future,Science Fiction,"The movie begins with TJ (Phill Lewis), a high school student from Detroit, selling stolen items to other members of his neighborhood. Upon returning to class, TJ finds he has to write a paper on a famous black person for his Black History class. TJ is later seen selling more stolen material while talking to his friend, but a police officer starts to chase him. While running, TJ gets hit by a car and is knocked unconscious.
When TJ awakens, he finds himself in 1822 in South Carolina, right next to an exceptionally large tree. Thinking that he is a runaway slave, TJ is brought to a slave auction and is sold to a man named Mr. Cooper. TJ then has to work on Mr. Cooper's plantation, and gets himself into all sorts of mischief.
While getting Zeke's (the black slave driver) food from Cooper's house, TJ runs into a house slave, Martilla, who also happens to be a palm reader. She tells TJ that to return to his own time, he must help another slave and then find the big tree which he was next to when he woke up after being hit by the car. After trying to help his fellow slaves with their chores, TJ becomes frustrated and attempts to run away. Unfortunately, he is stopped by Zeke, who then whips him.
Back at the plantation, TJ helps one of his fellow slaves, Josiah, learn to read. He shows Josiah how to write his name, and they read out of a book that Josiah stole from Cooper. To try to get Zeke in trouble with Cooper, he places the book in Zeke's house. Cooper finds the book, but also finds a piece of paper in the book in which Josiah had practiced writing his name. Josiah is then whipped to such an extent that he cannot move.
Due to Josiah's inability to move, he tells TJ to find Denmark Vesey and tell him about what happened. TJ does as he is told, and when he returns TJ tells Josiah what Vesey has told him. Josiah, TJ and Zeke have been asked to work at a party at Cooper's house serving food, but Josiah asks TJ to cover for him at seven o'clock as he is allied with Vesey and is part of Vesey's plan to rebel. Zeke overhears this and rushes to tell Cooper.
At the party, Zeke tells Cooper about what he has heard. TJ hears this and reports it to Josiah. The two then decide to escape. They also bring along Josiah's girlfriend Caroline. Cooper and Zeke chase after the trio. TJ decides to stall them and, while Josiah and Caroline escape, Cooper shoots TJ. He falls from the shot, right under the big tree.
When awakened, TJ finds himself back in his own time, where he decides to do better at school. He learns that to help yourself you sometimes have to help others. He also returns with a new pride in his heritage. TJ learns to become better and wants to get better grades to stay out of trouble.",Roy Campanella II,Ann E. Eskridge,,Wayne Morris,Phil Lewis/ Carl Lumbly/ Moses Gunn/ Akosua Busia/ Frank Converse/ Vonetta McGee,,,Stephen James Taylor,,,"February 3, 1991",103 minutes,,
The Bubble (1966 film),Science Fiction,"Tony is flying Catherine, who is in labor, and her husband Mark to a local city when a storm forces their small aircraft to land near a small town. Catherine is rushed to a local doctor, who delivers her baby successfully. The town is an odd amalgamation of architectural styles and technology levels, and the people act drugged. There is no wind or rain. Tony's plane goes missing.
Mark and Tony discover a throne-like seat in a building. When Tony sits in the seat, he becomes like the townspeople. Mark locates Tony after some time and knocks him out. When Tony awakes, he's back to his old self.
When the outsiders try to leave, they discover the town is encased in a gigantic clear dome. Mark hypothesizes that aliens are studying the townspeople, and sitting in the rock seat keeps the townspeople alive (as no food is getting in). A massive shadow passes over the town, and a woman and her child are pulled into the air. Hysterical, Catherine hides with her baby in an old mill on the edge of town.
Mark and Tony decide to try to dig a tunnel under the dome. In frustration, Mark takes a sledgehammer to the throne. The shadow passes over and Tony is taken by the aliens. Realizing he has little time left before the aliens come for him, Mark starts frantically digging and finds the bottom of the dome.
The townspeople gather outside the mill, chanting for food. Thinking his family is about to be eaten, Mark gives a speech about freedom. Suddenly, the wind starts blowing and it starts raining. The aliens and the dome are gone.",Arch Oboler,Arch Oboler,,Marvin J. Chomsky/ Arch Oboler,Michael Cole/ Deborah Walley,Charles F. Wheeler,Igo Kantor,Paul Sawtell/ Bert Shefter,,Arch Oboler Productions,,112 minutes (Original release)/ 93 minutes (1976 re-release),,
Captive Women,Science Fiction,"The film opens with war footage from World War III ending with a nuclear attack.
Long after the nuclear war, the last human survivors are divided into three tribes. Robert (Clarke) and Ruth (Field) are about to be married in the ruins of a post-apocalyptic New York City during a brief interlude in ongoing hostilities between their tribe (the Norms) and the rival tribe (the Mutates). The Mutates try to adhere to the tenets of the Christian Bible, but it is rejected by the Norms.
However, raiders from a third tribe, the Upriver People, attack through the Hudson River Tunnel and capture Ruth and several other women because they desperately need fertile females. The warring tribes must put aside their differences to rescue the women, a joint effort that unfolds quite quickly in the short film.
Ultimately, the Upriver People are defeated and are trapped in the tunnel as it is flooded. The women are recovered, and there are improved prospects for more peaceful relations among the tribes as the film concludes.",Stuart Gilmore,Jack Pollexfen/ Aubrey Wisberg,,Jack Pollexfen/ Aubrey Wisberg,Robert Clarke/ Ron Randell/ Margaret Field/ Gloria Saunders,Paul Ivano,Fred R. Feitshans Jr.,Charles Koff,,RKO Radio Pictures Inc.,"October 10, 1952",64 minutes,"$85,000",
Cat-Women of the Moon,Science Fiction,"Utilizing a spaceship equipped with wooden tables and chairs, a ""scientific expedition"" to the Moon encounters a race of cat-women, the last survivors of a two-million-year-old lunar civilization. Residing deep within a Moon cavern, the cat-women have managed to maintain not only the remnants of a breathable atmosphere and Earth-like gravity, but also a pair of gigantic Moon-spiders. The cat-women wear black unitards, have beehive hairstyles, and wear elaborate cosmetics. Realizing that their remaining atmosphere will soon be exhausted, the cat-women plan to steal the expedition's spaceship and return to Earth, where, in the words of the cat-women's leader, Alpha (Carol Brewster), ""We will get their women under our power, and soon we will rule the whole world!""
Through the use of their telepathic abilities, the cat-women have been subliminally controlling Helen Salinger (Marie Windsor), the mission navigator and only female member of the Earth expedition. Once on the Moon, the cat-women take control of Helen's mind, after which she leads the entire crew (clad in spacesuits and equipped with matches, cigarettes, and a gun) to the cat-women's cavern. Although unable to directly control male minds, the cat-women are able to influence the male crew through Helen, using their own superior intellectual abilities and feminine wiles. As explained to Helen by the cat-woman Beta (Suzanne Alexander), ""Show us their weak points. We'll take care of the rest.""
Along with telepathy, the cat-women can transport themselves, unseen and instantly, from place-to-place within the cavern. They use this ability to steal the crew's unguarded spacesuits, which forces the crew deeper into the cavern and into violent confrontations with the two Moon-spiders and the cat-women. Failing to exterminate the men, the cat-women approach them openly, using Helen to help establish friendly relations. Kip (Victor Jory), who has been suspicious of the cat-women, confronts Alpha about the missing spacesuits; she promises to return the suits in the morning. Food and drink are then brought, and private conversations between both groups begin. As these progress (""You're too smart for me, baby. I like 'em stupid""), the gun-wielding Kip sits alone, unable to intervene, while the cat-women successfully manipulate the ""weak points"" of expedition commander Laird (Sonny Tufts) and the other men.
By that evening, the cat-women have learned how to pilot the spaceship. Following a modern dance performance by the cat-women, Walt (Douglas Fowley) is stabbed to death by Beta. Lambda (Susan Morrow) has fallen in love with crew member Doug (William Phipps) and tells him of the cat-woman plot, saying, ""I love you Doug, and I must kill you"". The male crew now realizes they are in danger. Carrying three spacesuits, Alpha, Beta, and Helen run toward the spaceship. Lambda teleports ahead to delay them and is bludgeoned to death by Beta. Kip catches up and fires several shots, killing Alpha and Beta but leaving Helen uninjured. The surviving expedition members escape the cavern, reach the spaceship, and return to Earth.",Arthur Hilton,Roy Hamilton,,Jack Rabin/ Al Zimbalist,Sonny Tufts/ Victor Jory/ Marie Windsor,William P. Whitley,John A. Bushelman,Elmer Bernstein,,Astor Pictures,"September 3, 1953",64 minutes,,
City Beneath the Sea (1971 film),Science Fiction,"The plot concerns the destruction of an undersea drilling project that could possibly threaten the thriving undersea city of Triton, run by General Kevin Matthews with his associates Lia Holmes, scientific advisor Dr. Raymond Aguila (an amphibian/human hybrid who can breathe underwater) and his head of security Choo Choo Kino. Their lead engineer Temple is scheming to put an end to an underwater drilling project, which is spearheaded by the U.S. government and run by Matthews' team. In the finale, Matthews confronts Temple on the project's surface platform as it is destroyed in flames.",Irwin Allen,Story: Irwin Allen/ Screenplay: John Meredyth Lucas,,,Stuart Whitman/ Rosemary Forsyth/ Robert Colbert/ Burr DeBenning/ Robert Wagner/ Richard Basehart,Kenneth Peach,,Richard LaSalle,,,,98 minutes,,
